transaction_id,ai_decision_explanation,ai_customer_message,explanation_source,message_source
TXN10000,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹873.17 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10001,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1048, your payment of ₹7,206.46 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10002,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is authentication failure, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹11,866.63 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10003,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1091, your payment of ₹7,441.78 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10004,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹29,807.08 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10005,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1214, your payment of ₹3,478.65 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10006,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1040, your payment of ₹1,136.50 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10007,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹732.29 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10008,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹6,847.07 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10009,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 85/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1217, your payment of ₹35,502.30 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10010,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹11,617.34 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10011,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is network error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹46,302.66 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10012,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹9,042.86 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10013,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,652.39 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10014,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1112, this is a reminder regarding your pending payment of ₹18,884.31. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10015,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹19,875.04 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10016,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,103.82 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10017,RecoverAI recommends a controlled retry because the failure is related to network error. The recovery score is 100/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1239, your payment of ₹19,505.50 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10018,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,636.02 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10019,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1297, your payment of ₹7,526.81 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10020,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹663.29 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10021,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1115, your payment of ₹21,154.85 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10022,RecoverAI recommends a reminder because the payment remains recoverable but does not require an immediate technical retry.,"Hi Customer 1193, this is a reminder regarding your pending payment of ₹3,292.87. Please complete the payment at your convenience.",Local Fallback,Local Fallback
TXN10023,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,444.41 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10024,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1050, your payment of ₹31,701.61 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10025,RecoverAI recommends a customer prompt because the payment requires customer attention. The customer can verify the payment details and attempt the transaction again.,"Hi Customer 1146, your payment of ₹7,048.48 needs your attention. Please verify your payment details and try again.",Local Fallback,Local Fallback
TXN10026,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is card expired, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹8,147.66 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10027,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,229.13 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10028,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹9,439.20 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10029,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1035, your payment of ₹38,356.44 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10030,RecoverAI recommends a payment link because the failure is related to insufficient funds. This gives the customer another way to complete the outstanding payment.,"Hi Customer 1050, your payment of ₹7,199.06 could not be completed. You can complete your payment using the secure payment link provided.",Local Fallback,Local Fallback
TXN10031,RecoverAI recommends a controlled retry because the failure is related to temporary bank error. The recovery score is 80/100 and the transaction has not exceeded the automatic retry limit.,"Hi Customer 1100, your payment of ₹6,340.61 could not be completed due to a temporary payment issue. Please try the payment again after a short while.",Local Fallback,Local Fallback
TXN10032,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is temporary bank error, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,139.04 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10033,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹1,955.53 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
TXN10034,"RecoverAI stopped automatic recovery because the payment has already reached 4 unsuccessful attempts. Although the failure reason is insufficient funds, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.",Payment recovery for ₹344.57 has been paused after multiple unsuccessful attempts. Our support team will review the case.,Local Fallback,Local Fallback
TXN10035,"RecoverAI stopped automatic recovery because the payment has already reached 3 unsuccessful attempts. Although the failure reason is authentication failure, further automatic attempts are restricted to avoid repeated failures. The case is therefore escalated for operator review.","Payment recovery for ₹48,194.61 has been paused after multiple unsuccessful attempts. Our support team will review the case.",Local Fallback,Local Fallback
