transaction_id,amount,failure_reason,recommended_action,priority,reason
TXN10000,873.17,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10001,7206.46,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10002,11866.63,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10003,7441.78,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10004,29807.08,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10005,3478.65,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10006,1136.5,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10007,732.29,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10008,6847.07,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10009,35502.3,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10010,11617.34,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10011,46302.66,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10012,9042.86,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10013,1652.39,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10014,18884.31,UNKNOWN,REMINDER,LOW,General recovery follow-up recommended.
TXN10015,19875.04,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10016,1103.82,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10017,19505.5,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10018,1636.02,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10019,7526.81,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10020,663.29,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10021,21154.85,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10022,3292.87,UNKNOWN,REMINDER,LOW,Payment has remained unresolved for several days.
TXN10023,1444.41,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10024,31701.61,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10025,7048.48,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10026,8147.66,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10027,1229.13,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10028,9439.2,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10029,38356.44,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10030,7199.06,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10031,6340.61,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10032,1139.04,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10033,1955.53,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10034,344.57,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10035,48194.61,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10036,484.56,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10037,8454.5,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10038,873.3,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10039,1891.41,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10040,12774.45,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10041,23624.98,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10042,1645.27,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10043,812.45,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10044,21905.41,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10045,32937.52,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10046,8316.16,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10047,9748.25,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10048,13393.51,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10049,38327.25,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10050,2090.82,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10051,919.4,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10052,46764.63,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10053,1328.6,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10054,3357.27,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10055,702.57,CARD_EXPIRED,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10056,11808.75,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10057,884.6,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10058,39996.43,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10059,1009.98,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10060,29048.43,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10061,11151.31,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10062,35465.77,NETWORK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10063,8898.05,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10064,35336.03,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10065,26466.45,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10066,4780.61,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10067,1441.71,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10068,17380.84,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10069,15909.56,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10070,1004.34,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10071,9123.33,AUTHENTICATION_FAILURE,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10072,1540.79,NETWORK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10073,2060.27,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10074,26415.87,UNKNOWN,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10075,47175.04,INSUFFICIENT_FUNDS,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10076,39449.89,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10077,15376.59,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10078,2933.45,TEMPORARY_BANK_ERROR,RETRY,MEDIUM,Failure appears temporary and may succeed on retry.
TXN10079,5033.45,TEMPORARY_BANK_ERROR,RETRY,HIGH,Failure appears temporary and may succeed on retry.
TXN10080,3491.05,INSUFFICIENT_FUNDS,PAYMENT_LINK,MEDIUM,Customer may need to arrange funds before retrying.
TXN10081,1483.81,AUTHENTICATION_FAILURE,CUSTOMER_PROMPT,MEDIUM,Customer action is required to resolve the payment issue.
TXN10082,27261.13,NETWORK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10083,9150.25,TEMPORARY_BANK_ERROR,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
TXN10084,5951.36,CARD_EXPIRED,STOP_AND_ESCALATE,HIGH,Maximum automatic recovery attempts reached.
